,message_id,dt,text,sender_id,source
0,14910,2022-04-18 16:12:47,Всё привет лечу из Таиланда в СПб через Мск. Кому нужна валюта пишите.,5264017495,DollarEuroFrank
1,14909,2022-04-18 16:11:05,Продам 300 $ по 89 Спб,1493052283,DollarEuroFrank
2,14908,2022-04-18 16:00:04,💵💵💵Продам 500-1000$ москва юзао,355153480,DollarEuroFrank
3,14907,2022-04-18 15:58:39,Продам 30к$ Курс 90 Москва,1414683716,DollarEuroFrank
4,14906,2022-04-18 15:58:32,"Краснодар
Продам евро по 90 руб",5128233857,DollarEuroFrank
5,14905,2022-04-18 15:52:42,,1811424585,DollarEuroFrank
6,14904,2022-04-18 15:50:48,"Продам евро по 98, СПб",2024610916,DollarEuroFrank
7,14903,2022-04-18 15:49:26,"Краснодар продам наличные
Доллар $ 92
Евро     € 102
Новые купюры, нового образца. Обмен только через проверку в кассе банка. Запрос в л/с",457763062,DollarEuroFrank
8,14902,2022-04-18 15:44:10,Продам до 3400$ по 90 Москва приеду к вам,5309686315,DollarEuroFrank
9,14901,2022-04-18 15:43:08,Саратов $ 95р продам,862967425,DollarEuroFrank
10,14900,2022-04-18 15:42:08,"Есть доллары в наличии, небольшое количество, 91р. 
Проверка в банке и тд. Москва",5045361587,DollarEuroFrank
11,14899,2022-04-18 15:41:07,,5379395646,DollarEuroFrank
12,14898,2022-04-18 15:39:24,"Продам до 3000$
89
Мск",463769127,DollarEuroFrank
13,14897,2022-04-18 15:35:30,,1201151123,DollarEuroFrank
14,14896,2022-04-18 15:33:49,Продам $ 500 по 90 мск,731896425,DollarEuroFrank
15,14895,2022-04-18 15:33:18,"Продам 10 тыс. € по 100 в одни руки, Спб",1866924362,DollarEuroFrank
16,14894,2022-04-18 15:28:42,Куплю 1000$ в Сергиев Пасад,5204798899,DollarEuroFrank
17,14893,2022-04-18 15:27:56,"Продам до 3000$ по 90₽ наличные спб, юго-запад",928745154,DollarEuroFrank
18,14892,2022-04-18 15:27:17,,5204798899,DollarEuroFrank
19,14891,2022-04-18 15:13:28,🆘Москва СЗАО продам 4000$ по 95❗️писать в лс,537932752,DollarEuroFrank
20,14890,2022-04-18 15:13:25,Беру доллары в США даю рубли в России,1576366613,DollarEuroFrank
21,14889,2022-04-18 15:12:32,,383749902,DollarEuroFrank
22,14888,2022-04-18 15:11:29,Продам доллары Екатеринбург,94365040,DollarEuroFrank
23,14887,2022-04-18 15:05:59,Продам 5600 евро по 92 Москва,335267567,DollarEuroFrank
24,14886,2022-04-18 15:05:35,Продам новые $ Краснодар,496552378,DollarEuroFrank
25,14885,2022-04-18 15:03:05,"Продам 6000$ по 91,и 1000€ по 99,Москва Юго запад",578982915,DollarEuroFrank
26,14881,2022-04-18 14:53:23,Продам $ 500 по 90 мск,731896425,DollarEuroFrank
27,14880,2022-04-18 14:52:54,"Продам евро по 100, СПб",2024610916,DollarEuroFrank
28,14879,2022-04-18 14:50:23,Продам евро Исаева 5600 по 100,335267567,DollarEuroFrank
29,14878,2022-04-18 14:41:31,"Продам до 3400$ по 90,5 Москва приеду к вам",5309686315,DollarEuroFrank
30,14877,2022-04-18 14:41:24,"ПРодам $ новые,РСО-Алания",963881008,DollarEuroFrank
31,14876,2022-04-18 14:33:30,"Куплю от 5000 $ по 87, € по 95 Зеленоград М.О.",5180046433,DollarEuroFrank
32,14875,2022-04-18 14:33:21,1000 евро продам по 95 Химки,1364494365,DollarEuroFrank
33,14874,2022-04-18 14:22:45,Есть тысяча eur по 100. Севастополь,419970104,DollarEuroFrank
34,14872,2022-04-18 14:18:20,В личку опиши ситуацию,860029248,DollarEuroFrank
35,14871,2022-04-18 14:15:33,Продам $ 500 по 90 мск,731896425,DollarEuroFrank
36,14870,2022-04-18 14:08:27,@DMhhbbgvbh подтвержденный мошенник,1822686894,DollarEuroFrank
37,14869,2022-04-18 14:07:06,продам доллары по 91р москва,5184328819,DollarEuroFrank
38,14868,2022-04-18 14:06:45,"Обменяю 5000$(купюры 100$ новые) в Нижнем Новгороде.
Курс 1$=100₽ 
Обмен в любом отделении сбербанка по городу,с проверкой в кассе.",503260035,DollarEuroFrank
