,message_id,dt,text,sender_id,source
0,20614,2022-04-14 14:49:40,"МОСКВА   ЦЕНТР 📍USDT📍
 ПРОДАМ  от35000,50 000 usdt

 за $$ +3,2% - 3.5%
за  ₽₽  92₽
обсуждается ☝

Вопросы в ЛС",1539229364,obmenvmsk
1,20613,2022-04-14 14:46:42,,505510573,obmenvmsk
2,20612,2022-04-14 14:46:28,"❗️Продам 💲 💲💲 по 93₽ за доллар ❗️Любые проверки 🕵️‍♂️ Безопасная сделка ✅ Привезу сам, в пределах МКАД 🚘 Уточняйте и заказывайте объем, пишите в личку ✍️",1674288680,obmenvmsk
3,20611,2022-04-14 14:45:39,"Продам 500 евро по 110  руб. Москва, красная ветка север",818774720,obmenvmsk
4,20609,2022-04-14 14:45:10,"💵💵💵💵💵💵
Куплю и продам 💲
Москва , писать от 5000💲

Проверка в любом банке✔️

Пишите в личку, договоримся о курсе ‼️",160611403,obmenvmsk
5,20608,2022-04-14 14:44:31,"Продам 
$5000. Курс 91₽
€5000. Курс 100₽
USDT (Tether) за рубли - 94₽
USDT (Tether) за $ - 4% комиссия до $5000, если больше, то индивидуально.
 Можно анонимно! 

Москва. Центр. Киевская 
Новые купюры 💵💵💵
Встреча в банке для проверки купюр",1237515625,obmenvmsk
6,20607,2022-04-14 14:43:46,"Куплю $ по 87,Москва ЮЗАО",2074020825,obmenvmsk
7,20606,2022-04-14 14:41:38,Куплю доллары по 89р. Москва,456289692,obmenvmsk
8,20605,2022-04-14 14:40:33,"❗️МСК❗️
Продажа $
До 10.000$ курс 93.5₽ за $
От 10.000$ курс 92.5₽ за $
Обрабатываем заявки от 2.500$

Покупка $
До 10.000$ курс 88₽ за $
От 10.000$ курс 89₽ за $
Обрабатываем заявки от 2.500$

Работаем 11 - 23

Так же оказываем услугу обмена, покупки и продажи любой криптовалюты, лучшие курсы на USDT, BTC, ETH

Сделка проходит в оборудованном офисе в центре Москвы, проверка всех купюр производится на счетной машинке, максимальная безопасность для всех сторон",1774715152,obmenvmsk
9,20604,2022-04-14 14:40:08,"Продам $ €по лучшему курсу 
Куплю $ €по лучшему курсу 
Так же покупка, продажа криптовалюты USDT,BTC
Любые объемы 
МСК И СПБ
С полной проверкой в банке",360125318,obmenvmsk
10,20603,2022-04-14 14:38:02,"Куплю 4400 $ 
Москва",1012252520,obmenvmsk
11,20602,2022-04-14 14:35:29,,5042673883,obmenvmsk
12,20601,2022-04-14 14:31:36,"Продам 1450 евро по 100р, Москва (Север)",944110050,obmenvmsk
13,20600,2022-04-14 14:31:03,,298898215,obmenvmsk
14,20599,2022-04-14 14:30:06,Куплю 500-3000 € евро по 93 нал Мск,5214381174,obmenvmsk
15,20597,2022-04-14 14:29:15,"Покупка долл 88
(От 5.000 у.е.)
Покупка евро 97,5
(От 5.000 у.е.)
(Сделки строго в операционной кассе) без выездов, офисов и прочего.
Москва, центр
Курс действует в течение часа
Пишите/звоните",5203099291,obmenvmsk
16,20596,2022-04-14 14:28:06,"Куплю $ по 88-89 САО Москва, проверка через Банк",2085742490,obmenvmsk
17,20595,2022-04-14 14:28:05,"""Продам/Куплю, $ от 5000 курс договорной 
Москва ,проверка в банке 💯",1534753073,obmenvmsk
18,20594,2022-04-14 14:27:22,Куплю $ по 88. Москва,1093707429,obmenvmsk
19,20593,2022-04-14 14:25:18,"💵💵💵💵💵💵
Куплю и продам 💲
Москва , писать от 5000💲

Проверка в любом банке✔️

Пишите в личку, договоримся о курсе ‼️",160611403,obmenvmsk
20,20592,2022-04-14 14:22:36,"Куплю usdt за usd нал, от 2000$ под 2%",520964472,obmenvmsk
21,20591,2022-04-14 14:20:16,"Всем хорошего дня и настроения! 

Предложения по обмену валюты на сегодня следующие:
🇺🇸$:  buy: 86₽ / sell: 93₽
🇪🇺€:  buy: 94₽ / sell: 101₽

 ⁃ Оптовый курс от ~100к$/€ уточняйте в ЛС!🔥

- В наших центрах с помощью оборудования мы делаем проверку банкнот на подлинность и степень ветхости👨🏻‍🔧

 ⁃ Осуществляем дополнительную услугу по доставке 🚚 

❗️Курс может меняться в зависимости от ситуации на валютном рынке, поэтому всегда уточняйте его актуальность 📈📉

🕰 График работы: 
Пн-Вс 12:00-21:00.",5267257123,obmenvmsk
22,20590,2022-04-14 14:19:18,,5267257123,obmenvmsk
23,20589,2022-04-14 14:15:54,"ПРОДАМ €€ 35000

ПРОДАМ $$ 45000

Любые проверки в банках 
Москва, Зеленоград, Митино",293920550,obmenvmsk
24,20588,2022-04-14 14:13:47,"Продам 2000$ по 90, 
Москва, оперативно",840836050,obmenvmsk
25,20587,2022-04-14 14:13:31,Продам $ по 90,923184140,obmenvmsk
26,20586,2022-04-14 14:13:12,"Прием платежей от клиентов из-за рубежа.

Переводим любые суммы из РФ в любую страну мира и в РФ из любой страны мира.

Любые денежные перестановки в любых масштабах.

Наличные доллары в мск и питере в любых объемах.

Покупка / продажа крипты за наличные рубли и доллары.

Курс уточняйте в лс.",418325508,obmenvmsk
27,20585,2022-04-14 14:07:03,Продам доллары по 91.5р Москва,456289692,obmenvmsk
28,20584,2022-04-14 14:06:11,"Приветствую, друзья! 
Куплю доллар по 89!
Москва,центр
Все прозрачно и безопасно 
Пишите в личные сообщения,опишу ход сделки с максимальной безопасностью для вас и для меня!",1889594977,obmenvmsk
29,20583,2022-04-14 13:59:25,,371811238,obmenvmsk
30,20582,2022-04-14 13:58:24,продам 3000 $ по 89. Москва. Центр,312813810,obmenvmsk
31,20581,2022-04-14 13:56:46,,1990772625,obmenvmsk
32,20580,2022-04-14 13:55:32,"Куплю 31$ по 89,5",1841832380,obmenvmsk
33,20579,2022-04-14 13:54:30,,843094015,obmenvmsk
34,20578,2022-04-14 13:52:40,"Продам 17 500 долларов по 91,5 руб. Москва.",5142700780,obmenvmsk
35,20577,2022-04-14 13:52:15,Продам $ по 110 € по 120,5162591774,obmenvmsk
36,20576,2022-04-14 13:51:41,Продам евро за usdt,351278894,obmenvmsk
37,20575,2022-04-14 13:40:09,"Покупка $ 87 Продажа $ 92
(От 5000 у.е)
Покупка € 96 Продажа € 102
(От 3000 у.е)
Фиксируем курс/сумму на час. 
Сделки производятся строго в операционной кассе
От 10.000 у.е льготный курс
Москва, центр
Пишите/звоните",5203099291,obmenvmsk
